patient,TP53,BRCA1
TCGA-S3-AA11,6.0312,2.727
TCGA-D8-A27I,5.9812,2.8422
TCGA-AC-A3W6,5.3537,1.7702
TCGA-AR-A0TX,5.3042,2.0289
TCGA-AO-A0JG,5.4806,1.3051
TCGA-A8-A07L,6.4155,-1.0262
TCGA-A2-A0SV,5.7326,3.644
TCGA-XX-A899,5.5308,2.4675
TCGA-A7-A5ZW,5.5753,1.6512
TCGA-E9-A1NE,4.9251,2.5263
TCGA-BH-A0BR,5.4941,2.5238
TCGA-Z7-A8R6,5.3223,3.5111
TCGA-OL-A5D8,5.0215,2.5238
TCGA-B6-A0IJ,6.3509,-0.1187
TCGA-OL-A5D7,6.8975,2.7636
TCGA-A2-A1FW,6.0693,2.5852
TCGA-A7-A13H,5.4728,1.6558
TCGA-A2-A0EO,5.489,1.4652
TCGA-BH-A0BF,5.6358,1.3846
TCGA-AR-A5QN,4.6399,3.136
TCGA-AQ-A54N,3.5766,0.6969
TCGA-A2-A04V,5.1048,1.6649
TCGA-E2-A14T,5.23,3.2313
TCGA-E9-A295,5.0423,2.6067
TCGA-EW-A1P4,6.8569,1.3167
TCGA-A2-A0T4,5.1433,2.971
TCGA-BH-A0W3,5.682,4.3435
TCGA-BH-A42U,5.359,0.6969
TCGA-A8-A08G,4.7005,3.6589
TCGA-BH-A0BQ,5.3604,2.5658
TCGA-EW-A1IX,5.6194,2.694
TCGA-GM-A5PV,5.441,1.2209
TCGA-B6-A401,5.9901,2.2019
TCGA-C8-A1HG,5.0892,3.3966
TCGA-E2-A10E,6.2153,3.1112
TCGA-A7-A0CG,5.0884,1.5854
TCGA-A2-A0CS,6.1404,2.3164
TCGA-A1-A0SG,5.5711,2.7615
TCGA-E2-A1BD,5.8342,2.3677
TCGA-E2-A14Z,5.658,1.7702
TCGA-A2-A04R,4.6697,3.5161
TCGA-A7-A425,5.2917,2.7007
TCGA-E9-A1RF,3.9242,1.2815
TCGA-B6-A408,4.8525,1.8444
TCGA-AN-A0AM,5.5389,1.9564
TCGA-D8-A1JU,5.0268,1.6187
TCGA-AR-A1AH,3.1145,2.9784
TCGA-BH-A1EN,4.9407,1.9859
TCGA-E9-A3QA,6.745,2.1925
TCGA-BH-A0EB,5.7013,1.7575
TCGA-BH-A1EY,5.4735,2.0707
TCGA-E2-A574,5.6482,1.5366
TCGA-D8-A1JB,5.3295,2.7095
TCGA-D8-A27P,5.9303,2.5413
TCGA-E9-A5FL,5.438,0.679
TCGA-LL-A5YM,4.0357,2.0878
TCGA-BH-A1FC,3.1924,3.2602
TCGA-XX-A89A,5.2672,1.9859
TCGA-GM-A2DL,5.0657,1.7532
TCGA-AO-A12E,5.4416,3.8002
TCGA-AR-A24S,5.8783,2.8402
TCGA-E2-A15K,5.7605,3.8759
TCGA-AO-A12G,5.4499,1.5266
TCGA-BH-A0HA,4.8684,1.3567
TCGA-W8-A86G,4.6023,1.0779
TCGA-E2-A153,5.2277,1.9675
TCGA-AR-A24W,5.6433,2.1147
TCGA-D8-A1JJ,6.4418,2.753
TCGA-AO-A03P,5.846,3.1604
TCGA-E2-A158,5.7066,0.3796
TCGA-A8-A079,4.7809,2.9692
TCGA-BH-A204,7.1283,4.588
TCGA-BH-A0B4,4.964,3.1212
TCGA-AO-A03T,3.8002,1.1897
TCGA-E9-A1N6,6.4074,2.7594
TCGA-GM-A2DM,5.3841,2.0707
TCGA-A2-A4RX,7.2014,3.1011
TCGA-D8-A27H,3.6703,-0.3022
TCGA-E9-A1NC,4.6781,-0.3383
TCGA-A2-A3XS,3.5337,2.4359
TCGA-AR-A0TZ,5.9206,5.0135
TCGA-AO-A0J7,6.0166,3.7464
TCGA-D8-A1XY,4.9631,2.9128
TCGA-A2-A0CK,5.1123,1.8242
TCGA-AC-A8OR,5.9688,1.4011
TCGA-A2-A0YH,5.745,2.909
TCGA-A2-A4S2,5.4647,2.2603
TCGA-AQ-A7U7,5.4182,2.1862
TCGA-E2-A10A,6.6614,3.9561
TCGA-C8-A12P,5.686,2.651
TCGA-GM-A5PX,4.6445,1.2394
TCGA-A7-A13F,5.753,4.6154
TCGA-D8-A1X9,4.8709,4.0028
TCGA-AR-A1AN,4.0748,1.8604
TCGA-D8-A1Y0,5.3122,3.5312
TCGA-EW-A1PG,5.7154,1.0079
TCGA-AN-A0FN,5.5494,1.692
TCGA-EW-A1PF,5.3562,1.5316
TCGA-AO-A03L,4.4115,3.0393
TCGA-AN-A0FY,6.8309,2.753
TCGA-AC-A7VC,5.7578,2.4252
TCGA-E9-A1R3,6.1041,1.8564
TCGA-E2-A1IN,6.0453,2.128
TCGA-A2-A25E,5.4307,4.0739
TCGA-EW-A1IY,5.9136,3.1908
TCGA-B6-A0X4,5.2563,2.1476
TCGA-D8-A1XQ,4.4777,2.2082
TCGA-A2-A0CL,6.0128,3.7539
TCGA-C8-A27A,6.1351,4.5123
TCGA-E9-A1R7,4.5826,3.866
TCGA-E9-A249,6.3431,3.4687
TCGA-A8-A07P,4.7247,2.9765
TCGA-BH-A1F5,5.9317,1.7489
TCGA-A8-A08F,4.951,1.1833
TCGA-AC-A5XU,6.6289,2.5036
TCGA-AN-A0XL,4.8334,3.3379
TCGA-E9-A1ND,6.2531,2.5363
TCGA-AN-A03X,4.7404,2.0254
TCGA-A8-A08R,3.927,4.0627
TCGA-A2-A0YC,4.9714,3.4622
TCGA-GM-A2DC,4.2366,2.2603
